EAN,PRODUTO,REFERENCIA,DESCRICAO,COR,TAMANHO,ESTOQUE,LOCALIZADOR
9000005048596,532603,215001035,SHORT JEANS BRILHO LATERAL,JEANS,40,32,08 02 02
9000005048602,532604,215001035,SHORT JEANS BRILHO LATERAL,JEANS,42,34,08 02 02
9000005048619,532605,215001035,SHORT JEANS BRILHO LATERAL,JEANS,44,12,08 02 02
9000005103851,537056,332000736,VESTIDO PLANO CURTO CHAMISIE COM RENDA NO OMBRO,CARAMELO,8,25,08 01 06
9000005103868,537057,332000736,VESTIDO PLANO CURTO CHAMISIE COM RENDA NO OMBRO,CARAMELO,10,19,08 01 06
9000005103875,537058,332000736,VESTIDO PLANO CURTO CHAMISIE COM RENDA NO OMBRO,CARAMELO,12,16,08 01 06
9000005130369,539389,221001717,BLUSA MALHA COM X NO DECOTE,MARINHO,P,35,08 01 05
9000005130383,539390,221001717,BLUSA MALHA COM X NO DECOTE,MARINHO,M,11,08 01 05
9000005130406,539391,221001717,BLUSA MALHA COM X NO DECOTE,MARINHO,G,15,08 01 05
9000005130420,539392,221001717,BLUSA MALHA COM X NO DECOTE,MARINHO,GG,19,08 01 05
9000005130376,539393,221001717,BLUSA MALHA COM X NO DECOTE,PINK,P,7,08 01 05
9000005130390,539394,221001717,BLUSA MALHA COM X NO DECOTE,PINK,M,5,08 01 05
9000005130413,539395,221001717,BLUSA MALHA COM X NO DECOTE,PINK,G,3,08 01 05
9000005130437,539396,221001717,BLUSA MALHA COM X NO DECOTE,PINK,GG,7,08 01 05
9000005171287,542496,221001717,BLUSA MALHA COM X NO DECOTE,PRETO,P,7,08 01 05
9000005171294,542497,221001717,BLUSA MALHA COM X NO DECOTE,PRETO,M,4,08 01 05
9000005171300,542498,221001717,BLUSA MALHA COM X NO DECOTE,PRETO,G,8,08 01 05
9000005171317,542499,221001717,BLUSA MALHA COM X NO DECOTE,PRETO,GG,7,08 01 05
9000004972465,526484,212000421,VESTIDO JEANS AMARRAÇÃO COSTAS,JEANS,P,21,08 01 04
9000004972472,526485,212000421,VESTIDO JEANS AMARRAÇÃO COSTAS,JEANS,M,5,08 01 04
9000004972489,526486,212000421,VESTIDO JEANS AMARRAÇÃO COSTAS,JEANS,G,8,08 01 04
9000004972496,526487,212000421,VESTIDO JEANS AMARRAÇÃO COSTAS,JEANS,GG,14,08 01 04
9000004973363,526535,213000826,CALÇA JEANS RETA COM CÓS DUPLO,JEANS,36,1,08 01 02
9000004973370,526536,213000826,CALÇA JEANS RETA COM CÓS DUPLO,JEANS,38,33,08 01 02
9000004973387,526537,213000826,CALÇA JEANS RETA COM CÓS DUPLO,JEANS,40,12,08 01 02
9000004973394,526538,213000826,CALÇA JEANS RETA COM CÓS DUPLO,JEANS,42,18,08 01 02
9000004972380,526480,211000649,CAMISA JEANS COM BOLSOS FRONTAIS,JEANS,P,34,08 01 01
9000004972397,526481,211000649,CAMISA JEANS COM BOLSOS FRONTAIS,JEANS,M,11,08 01 01
9000004972403,526482,211000649,CAMISA JEANS COM BOLSOS FRONTAIS,JEANS,G,16,08 01 01
